solution variable
x	solution variable
0.5	0.000138739338091135
1.5	0.000141048404434668
2.5	0.00014537815035325
3.5	0.000151306307265155
4.5	0.000158442816532573
5.5	0.000166518872658632
6.5	0.000175399903159265
7.5	0.00018505890670386
8.5	0.000195540899282464
9.5	0.000206933261953965
10.5	0.000219345389413474
11.5	0.000232896054928118
12.5	0.000247705846192962
13.5	0.000263892516705615
14.5	0.000281567872872955
15.5	0.000300835427732486
16.5	0.000321788432244934
17.5	0.000344508101447626
18.5	0.000369061953965965
19.5	0.000395502228815819
20.5	0.000423864362360157
21.5	0.000454165516279712
22.5	0.000486403152148648
23.5	0.000520553653147946
24.5	0.000556570999930104
25.5	0.000594385515897105
26.5	0.000633902706826779
27.5	0.000675002230245841
28.5	0.000717537040433865
29.5	0.000761332764649651
30.5	0.000806187374321664
31.5	0.000851871220814134
32.5	0.000898127508312334
33.5	0.000944673275775742
34.5	0.000991200955268396
35.5	0.00103738056485961
36.5	0.00108286258037958
37.5	0.00112728151146691
38.5	0.00117026018365239
39.5	0.0012114147001004
40.5	0.00125036002489137
41.5	0.00128671609564433
42.5	0.00132011433859024
43.5	0.0013502044260805
44.5	0.00137666108743066
45.5	0.00139919076155996
46.5	0.0014175378665684
47.5	0.00143149045925772
48.5	0.00144088506801037
49.5	0.00144561050580739
50.5	0.00144561050580739
51.5	0.00144088506801037
52.5	0.00143149045925772
53.5	0.0014175378665684
54.5	0.00139919076155996
55.5	0.00137666108743066
56.5	0.00135020442608049
57.5	0.00132011433859023
58.5	0.00128671609564432
59.5	0.00125036002489137
60.5	0.0012114147001004
61.5	0.00117026018365239
62.5	0.00112728151146691
63.5	0.00108286258037958
64.5	0.00103738056485961
65.5	0.000991200955268395
66.5	0.000944673275775742
67.5	0.000898127508312334
68.5	0.000851871220814134
69.5	0.000806187374321663
70.5	0.00076133276464965
71.5	0.000717537040433865
72.5	0.00067500223024584
73.5	0.000633902706826777
74.5	0.000594385515897103
75.5	0.000556570999930102
76.5	0.000520553653147944
77.5	0.000486403152148646
78.5	0.000454165516279709
79.5	0.000423864362360154
80.5	0.000395502228815817
81.5	0.000369061953965964
82.5	0.000344508101447625
83.5	0.000321788432244933
84.5	0.000300835427732485
85.5	0.000281567872872955
86.5	0.000263892516705614
87.5	0.00024770584619296
88.5	0.000232896054928116
89.5	0.000219345389413473
90.5	0.000206933261953964
91.5	0.000195540899282464
92.5	0.00018505890670386
93.5	0.000175399903159265
94.5	0.000166518872658632
95.5	0.000158442816532573
96.5	0.000151306307265155
97.5	0.00014537815035325
98.5	0.000141048404434668
99.5	0.000138739338091135
